수집시각,장소명,예측시각,예측혼잡도
2026-05-04 00:32,서울식물원·마곡나루역,2026-05-04 12:00,보통
2026-05-04 00:32,서울식물원·마곡나루역,2026-05-04 13:00,보통
2026-05-04 00:32,서울식물원·마곡나루역,2026-05-04 14:00,보통
2026-05-04 00:32,서울식물원·마곡나루역,2026-05-04 15:00,보통
2026-05-04 00:32,서울식물원·마곡나루역,2026-05-04 16:00,보통
2026-05-04 00:32,서울식물원·마곡나루역,2026-05-04 17:00,보통
2026-05-04 00:32,서울식물원·마곡나루역,2026-05-04 18:00,보통
2026-05-04 00:32,서울식물원·마곡나루역,2026-05-04 19:00,보통
2026-05-04 00:32,서울식물원·마곡나루역,2026-05-04 20:00,보통
2026-05-04 00:32,서울식물원·마곡나루역,2026-05-04 21:00,여유
2026-05-04 00:32,서울역,2026-05-04 10:00,약간 붐빔
2026-05-04 00:32,서울역,2026-05-04 11:00,붐빔
2026-05-04 00:32,서울역,2026-05-04 12:00,붐빔
2026-05-04 00:32,서울역,2026-05-04 13:00,붐빔
2026-05-04 00:32,서울역,2026-05-04 14:00,붐빔
2026-05-04 00:32,서울역,2026-05-04 15:00,붐빔
2026-05-04 00:32,서울역,2026-05-04 16:00,붐빔
2026-05-04 00:32,서울역,2026-05-04 17:00,붐빔
2026-05-04 00:32,서울역,2026-05-04 18:00,약간 붐빔
2026-05-04 00:32,서울역,2026-05-04 19:00,보통
2026-05-04 00:32,서울역,2026-05-04 20:00,여유
2026-05-04 00:32,서울역,2026-05-04 21:00,여유
2026-05-04 00:32,선릉역,2026-05-04 10:00,약간 붐빔
2026-05-04 00:32,선릉역,2026-05-04 11:00,약간 붐빔
2026-05-04 00:32,선릉역,2026-05-04 12:00,붐빔
2026-05-04 00:32,선릉역,2026-05-04 13:00,붐빔
2026-05-04 00:32,선릉역,2026-05-04 14:00,붐빔
2026-05-04 00:32,선릉역,2026-05-04 15:00,붐빔
2026-05-04 00:32,선릉역,2026-05-04 16:00,붐빔
2026-05-04 00:32,선릉역,2026-05-04 17:00,붐빔
2026-05-04 00:32,선릉역,2026-05-04 18:00,약간 붐빔
2026-05-04 00:32,선릉역,2026-05-04 19:00,약간 붐빔
2026-05-04 00:32,선릉역,2026-05-04 20:00,보통
2026-05-04 00:32,선릉역,2026-05-04 21:00,여유
2026-05-04 00:32,성신여대입구역,2026-05-04 10:00,여유
2026-05-04 00:32,성신여대입구역,2026-05-04 11:00,여유
2026-05-04 00:32,성신여대입구역,2026-05-04 12:00,여유
2026-05-04 00:32,성신여대입구역,2026-05-04 13:00,여유
2026-05-04 00:32,성신여대입구역,2026-05-04 14:00,여유
2026-05-04 00:32,성신여대입구역,2026-05-04 15:00,여유
2026-05-04 00:32,성신여대입구역,2026-05-04 16:00,여유
2026-05-04 00:32,성신여대입구역,2026-05-04 17:00,보통
2026-05-04 00:32,성신여대입구역,2026-05-04 18:00,보통
2026-05-04 00:32,성신여대입구역,2026-05-04 19:00,약간 붐빔
2026-05-04 00:32,성신여대입구역,2026-05-04 20:00,보통
2026-05-04 00:32,성신여대입구역,2026-05-04 21:00,보통
2026-05-04 00:32,신도림역,2026-05-04 10:00,보통
2026-05-04 00:32,신도림역,2026-05-04 11:00,여유
2026-05-04 00:32,신도림역,2026-05-04 12:00,보통
2026-05-04 00:32,신도림역,2026-05-04 13:00,보통
2026-05-04 00:32,신도림역,2026-05-04 14:00,보통
2026-05-04 00:32,신도림역,2026-05-04 15:00,보통
2026-05-04 00:32,신도림역,2026-05-04 16:00,보통
2026-05-04 00:32,신도림역,2026-05-04 17:00,보통
2026-05-04 00:32,신도림역,2026-05-04 18:00,약간 붐빔
2026-05-04 00:32,신도림역,2026-05-04 19:00,붐빔
2026-05-04 00:32,신도림역,2026-05-04 20:00,약간 붐빔
2026-05-04 00:32,신도림역,2026-05-04 21:00,보통
2026-05-04 00:32,신림역,2026-05-04 10:00,여유
2026-05-04 00:32,신림역,2026-05-04 11:00,여유
2026-05-04 00:32,신림역,2026-05-04 12:00,여유
2026-05-04 00:32,신림역,2026-05-04 13:00,여유
2026-05-04 00:32,신림역,2026-05-04 14:00,여유
2026-05-04 00:32,신림역,2026-05-04 15:00,여유
2026-05-04 00:32,신림역,2026-05-04 16:00,여유
