수집시각,장소명,예측시각,예측혼잡도
2026-05-04 00:32,고덕역,2026-05-04 21:00,보통
2026-05-04 00:32,고속터미널역,2026-05-04 10:00,여유
2026-05-04 00:32,고속터미널역,2026-05-04 11:00,여유
2026-05-04 00:32,고속터미널역,2026-05-04 12:00,보통
2026-05-04 00:32,고속터미널역,2026-05-04 13:00,보통
2026-05-04 00:32,고속터미널역,2026-05-04 14:00,약간 붐빔
2026-05-04 00:32,고속터미널역,2026-05-04 15:00,약간 붐빔
2026-05-04 00:32,고속터미널역,2026-05-04 16:00,약간 붐빔
2026-05-04 00:32,고속터미널역,2026-05-04 17:00,약간 붐빔
2026-05-04 00:32,고속터미널역,2026-05-04 18:00,약간 붐빔
2026-05-04 00:32,고속터미널역,2026-05-04 19:00,약간 붐빔
2026-05-04 00:32,고속터미널역,2026-05-04 20:00,보통
2026-05-04 00:32,고속터미널역,2026-05-04 21:00,여유
2026-05-04 00:32,교대역,2026-05-04 10:00,약간 붐빔
2026-05-04 00:32,교대역,2026-05-04 11:00,약간 붐빔
2026-05-04 00:32,교대역,2026-05-04 12:00,약간 붐빔
2026-05-04 00:32,교대역,2026-05-04 13:00,붐빔
2026-05-04 00:32,교대역,2026-05-04 14:00,붐빔
2026-05-04 00:32,교대역,2026-05-04 15:00,약간 붐빔
2026-05-04 00:32,교대역,2026-05-04 16:00,약간 붐빔
2026-05-04 00:32,교대역,2026-05-04 17:00,약간 붐빔
2026-05-04 00:32,교대역,2026-05-04 18:00,약간 붐빔
2026-05-04 00:32,교대역,2026-05-04 19:00,약간 붐빔
2026-05-04 00:32,교대역,2026-05-04 20:00,보통
2026-05-04 00:32,교대역,2026-05-04 21:00,보통
2026-05-04 00:32,구로디지털단지역,2026-05-04 10:00,약간 붐빔
2026-05-04 00:32,구로디지털단지역,2026-05-04 11:00,붐빔
2026-05-04 00:32,구로디지털단지역,2026-05-04 12:00,붐빔
2026-05-04 00:32,구로디지털단지역,2026-05-04 13:00,붐빔
2026-05-04 00:32,구로디지털단지역,2026-05-04 14:00,붐빔
2026-05-04 00:32,구로디지털단지역,2026-05-04 15:00,붐빔
2026-05-04 00:32,구로디지털단지역,2026-05-04 16:00,붐빔
2026-05-04 00:32,구로디지털단지역,2026-05-04 17:00,붐빔
2026-05-04 00:32,구로디지털단지역,2026-05-04 18:00,약간 붐빔
2026-05-04 00:32,구로디지털단지역,2026-05-04 19:00,약간 붐빔
2026-05-04 00:32,구로디지털단지역,2026-05-04 20:00,여유
2026-05-04 00:32,구로디지털단지역,2026-05-04 21:00,여유
2026-05-04 00:32,구로역,2026-05-04 10:00,보통
2026-05-04 00:32,구로역,2026-05-04 11:00,보통
2026-05-04 00:32,구로역,2026-05-04 12:00,보통
2026-05-04 00:32,구로역,2026-05-04 13:00,보통
2026-05-04 00:32,구로역,2026-05-04 14:00,보통
2026-05-04 00:32,구로역,2026-05-04 15:00,보통
